Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy Level,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Effective To Date - Month,Effective To Date - Year
BU79786,Washington,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Standard,Medsize,2,2011
QZ44356,Arizona,No,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Single,Personal Auto,3,3,Agent,Standard,Medsize,1,2011
AI49188,Nevada,No,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Married,Personal Auto,3,1,Agent,Standard,Medsize,2,2011
WW63253,California,No,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Call Center,Sports,Medsize,1,2011
HB64268,Washington,No,Basic,Bachelor,2011-02-03,Employed,M,Rural,Single,Personal Auto,1,1,Agent,Standard,Medsize,2,2011
OC83172,Oregon,Yes,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Personal Auto,3,2,Web,Standard,Medsize,1,2011
XZ87318,Oregon,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Standard,Medsize,2,2011
CF85061,Arizona,No,Premium,Master,2011-01-18,Unemployed,M,Urban,Single,Corporate Auto,3,1,Agent,Standard,Medsize,1,2011
DY87989,Oregon,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Corporate Auto,3,1,Agent,Standard,Medsize,1,2011
BQ94931,Oregon,No,Extended,College,2011-02-17,Employed,F,Urban,Married,Special Auto,2,2,Branch,Standard,Medsize,2,2011
SX51350,California,No,Basic,College,2011-02-21,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Standard,Small,2,2011
VQ65197,California,No,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,3,2,Agent,Sports,Medsize,1,2011
DP39365,California,No,Premium,Master,2011-02-06,Employed,M,Urban,Married,Corporate Auto,1,2,Agent,Standard,Medsize,2,2011
SJ95423,Arizona,Yes,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Corporate Auto,3,2,Branch,Sports,Medsize,1,2011
IL66569,California,No,Basic,College,2011-01-18,Employed,M,Urban,Single,Corporate Auto,3,4,Call Center,Standard,Medsize,1,2011
BW63560,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate Auto,2,2,Branch,Standard,Medsize,1,2011
FV94802,Nevada,No,Basic,High School or Below,2011-02-06,Medical Leave,M,Suburban,Married,Personal Auto,3,2,Call Center,Standard,Medsize,2,2011
OE15005,California,No,Basic,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal Auto,2,3,Call Center,Sports,Medsize,1,2011
